User ID,Timestamp,Channel,Campaign,Conversion
83281,2025-02-10 07:58:51,Email,New Product Launch,No
68071,2025-02-10 23:38:48,Search Ads,Winter Sale,No
90131,2025-02-11 10:41:07,Social Media,Brand Awareness,Yes
71026,2025-02-10 08:19:44,Direct Traffic,-,Yes
94486,2025-02-10 15:15:46,Email,Retargeting,Yes
31134,2025-02-11 06:43:06,Search Ads,-,Yes
99995,2025-02-10 06:15:30,Search Ads,-,Yes
45832,2025-02-11 01:09:27,Referral,Winter Sale,Yes
79863,2025-02-10 06:48:56,Display Ads,Discount Offer,Yes
35324,2025-02-10 21:36:24,Direct Traffic,-,No
50905,2025-02-11 22:04:52,Social Media,Brand Awareness,No
82798,2025-02-10 08:57:09,Display Ads,New Product Launch,Yes
53313,2025-02-10 14:45:33,Social Media,Brand Awareness,Yes
59109,2025-02-10 14:18:50,Display Ads,Brand Awareness,No
72045,2025-02-11 18:39:11,Referral,Retargeting,No
91019,2025-02-10 04:28:34,Email,Winter Sale,No
78241,2025-02-11 11:24:51,Display Ads,Brand Awareness,Yes
71565,2025-02-11 17:24:00,Email,Retargeting,Yes
60684,2025-02-10 01:31:38,Email,-,Yes
28998,2025-02-11 11:15:57,Direct Traffic,-,Yes
39795,2025-02-11 22:31:29,Display Ads,New Product Launch,No
83286,2025-02-11 16:16:07,Social Media,Discount Offer,No
62862,2025-02-11 02:10:56,Referral,Discount Offer,Yes
20507,2025-02-11 12:49:41,Email,Discount Offer,Yes
28295,2025-02-11 14:52:26,Social Media,New Product Launch,No
96523,2025-02-10 20:39:45,Social Media,Brand Awareness,Yes
30910,2025-02-11 02:03:43,Referral,Discount Offer,Yes
78262,2025-02-11 17:34:39,Referral,Brand Awareness,No
37903,2025-02-10 18:20:15,Search Ads,Retargeting,Yes
22684,2025-02-11 17:40:59,Direct Traffic,-,No
14396,2025-02-10 00:29:52,Social Media,Discount Offer,Yes
31679,2025-02-11 16:14:27,Email,Brand Awareness,No
73216,2025-02-10 16:07:32,Email,-,Yes
34551,2025-02-10 15:55:07,Referral,Discount Offer,No
20513,2025-02-11 07:12:26,Search Ads,-,Yes
78925,2025-02-10 02:27:13,Social Media,Retargeting,No
30845,2025-02-11 15:43:26,Email,Retargeting,Yes
27437,2025-02-11 10:47:29,Direct Traffic,-,No
17566,2025-02-10 14:33:24,Search Ads,Brand Awareness,No
61019,2025-02-10 20:23:23,Referral,Brand Awareness,No
96237,2025-02-10 18:57:31,Email,Winter Sale,No
93014,2025-02-11 15:51:03,Search Ads,-,No
81371,2025-02-10 04:28:11,Search Ads,Brand Awareness,No
76909,2025-02-11 02:40:05,Display Ads,Retargeting,Yes
29914,2025-02-11 02:00:11,Display Ads,Retargeting,Yes
33255,2025-02-11 08:10:31,Email,-,No
32685,2025-02-10 22:59:07,Referral,Winter Sale,No
28171,2025-02-11 10:26:35,Email,-,Yes
32391,2025-02-10 17:20:03,Email,Brand Awareness,No
82495,2025-02-10 01:32:50,Direct Traffic,-,Yes
55755,2025-02-11 16:42:31,Display Ads,Brand Awareness,Yes
94548,2025-02-11 03:33:54,Direct Traffic,-,No
89180,2025-02-10 01:11:40,Direct Traffic,-,No
72532,2025-02-10 14:00:29,Search Ads,-,Yes
53707,2025-02-10 04:51:48,Referral,Retargeting,Yes
57726,2025-02-11 20:24:10,Direct Traffic,-,Yes
90253,2025-02-10 03:11:16,Direct Traffic,-,Yes
57564,2025-02-10 05:37:37,Direct Traffic,-,No
29113,2025-02-10 04:09:23,Direct Traffic,-,Yes
94722,2025-02-10 14:02:09,Referral,-,No
62079,2025-02-10 10:24:17,Email,Winter Sale,No
63416,2025-02-10 10:38:06,Display Ads,Discount Offer,No
89732,2025-02-10 09:27:51,Referral,Discount Offer,No
15395,2025-02-11 07:00:01,Referral,Brand Awareness,Yes
33578,2025-02-11 06:49:10,Referral,Retargeting,Yes
57627,2025-02-11 23:05:41,Display Ads,-,Yes
92974,2025-02-11 04:58:34,Social Media,Discount Offer,Yes
23599,2025-02-11 05:59:35,Direct Traffic,-,No
17614,2025-02-10 19:07:42,Search Ads,Retargeting,No
15491,2025-02-10 16:33:03,Social Media,Retargeting,No
69460,2025-02-10 16:55:36,Search Ads,Winter Sale,No
35837,2025-02-11 04:46:49,Social Media,-,No
64703,2025-02-10 00:09:06,Referral,Retargeting,Yes
74876,2025-02-10 14:42:48,Search Ads,Discount Offer,No
14398,2025-02-11 15:36:02,Referral,Discount Offer,Yes
73721,2025-02-11 12:51:57,Search Ads,Winter Sale,No
89340,2025-02-10 23:25:50,Direct Traffic,-,No
94174,2025-02-10 21:36:11,Display Ads,Brand Awareness,Yes
72741,2025-02-11 13:15:16,Display Ads,-,No
17708,2025-02-10 14:13:41,Direct Traffic,-,No
67722,2025-02-10 19:28:49,Display Ads,Brand Awareness,No
90253,2025-02-11 12:06:26,Direct Traffic,-,Yes
16311,2025-02-11 22:17:28,Social Media,-,Yes
32391,2025-02-11 11:41:06,Search Ads,-,No
73105,2025-02-11 11:11:30,Display Ads,-,Yes
79941,2025-02-11 15:18:29,Email,Brand Awareness,No
96015,2025-02-10 07:40:35,Search Ads,Brand Awareness,No
54874,2025-02-10 20:07:19,Search Ads,Retargeting,No
37162,2025-02-11 23:24:13,Direct Traffic,-,No
58969,2025-02-10 20:31:07,Display Ads,Brand Awareness,No
67211,2025-02-11 05:41:12,Search Ads,New Product Launch,No
